zks,zksync,first eth deposit time,mint nft 0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83 in zksync,zksync eth balance ,zksync last sale,0x7d54a311d56957fa3c9a3e397ca9dc6061113ab3  claim  in zksync,"l0 Transaction Details  Mon, 19 Jun 2023   op-arb  arb-op   ""Bridge within a few minutes""  "
0x5b59906bad44bd669ba32f7716315851051ea219,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0143,2024/5/13,2023/12/6,0xca261451bd8dbb2ecad56942e6e44a1af917797f9a01480e306181e214f528ad  0.48145 SGETH
0x1c9772e64dec605809b3f3ae68376524f3c69b75,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0157,2024/5/13,2023/12/6,0xe29f7e12d974510b60c65947b2b51315ad3ca2c6544107169d1d3dd5e022ed5a  0.694791 SGETH
0xc8eb8e9e86019559e492ef226fd606de4137e7d0,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/4,2023/7/4,0.0129,2024/5/16,2023/12/6,"0xa6207bc7de877f5bb4087caf7408bbc8427b52b9f89bd8c69d0adf08ac315c97   
0.663558 SGETH"
0xfce069aefffdd7fcb919cf4fd69433f511c74cd6,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/3,2023/7/3,0.0056,2024/5/6,2023/12/6,0x45311e94cee757217e345d1aadf6c1112409bb19ca24e4883d1af3e4bcdb79b3  0.951655 SGETH
0xc9b4e7c59ccbe63484a4062791e1bb5a12ff97e8,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/2,2023/7/2,0.0377,2024/4/2,2023/12/6,0xc1e9c029c583a1ff525d6041d1bd1dfaed396eada9becc7f4b3b219bee6d9203   1.54415 SGETH
0x72d3c54541afcdb4b1f1c265ba17b3356bfa65c9,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/29,tx/0xc9397b3331cc0338a6b251e060f3e5e0718b2c71c9b363a06cc60f564aff1e6d,0.0103,2024/5/9,2023/12/6,0xd37b521aea47456bde1b3988f4687a282c0073473a56ba64ec78713a8c721941  1.40468 SGETH
0x53d81976766f38ccefa37f0713894fe7f99cfa06,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/1,2023/7/1,0.0058,2024/5/8,2023/12/6,0x2551718d797385b5703153065d4be9fb3d9798e255ee6392ca76ca4f3ed25bd0  0.795335 SGETH
0x0b4ed1127390c31f517aed4371ba3219fd3efef6,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/27,tx/0xac9cd999aa3088b40eb5e78aa4b29080d519b6e5c711a3e8bc0bb1904e59a541,0.0162,2024/5/10,2023/12/6,0x472379dc41ed4847588c219b9cfab094c3221b6331476271339835102cda82e9   0.664108 SGETH
0x74e4b6cd7c1bd3a7c5263fce2b2ce36d7931d955,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/7/23,2023/7/23,0.0117,2024/4/8,2023/12/6,0x9cca618da68b6505122b04e812ca26527e7230feea8e8427adc5f96776b9ab71   0.684971 SGETH
0x4d129291405f567c44be4fdc2b32a6e4ded52118,  to eth 0xa269031037b4d5fa3f771c401d19e57def6cb491 /0.65-0.8  2023/8/6,2023/6/29,2023/6/29,0.017,2024/5/6,2023/12/6,0x435b7d9239e61b013294a24e0b56449c7c3dd59bbcbbdd66d2f8f30bd6c37368   0.680307 SGETH
